"obec";"obecL"
"Bratislava";"bratislava"
"Košice";"košice"
"Prešov";"prešov"
"Žilina";"žilina"
"Banská Bystrica";"banská bystrica"
"Nitra";"nitra"
"Trnava";"trnava"
"Trenčín";"trenčín"
"Martin";"martin"
"Poprad";"poprad"
"Prievidza";"prievidza"
"Zvolen";"zvolen"
"Považská Bystrica";"považská bystrica"
"Michalovce";"michalovce"
"Nové Zámky";"nové zámky"
"Spišská Nová Ves";"spišská nová ves"
"Komárno";"komárno"
"Humenné";"humenné"
"Levice";"levice"
"Bardejov";"bardejov"
"Liptovský Mikuláš";"liptovský mikuláš"
"Lučenec";"lučenec"
"Piešťany";"piešťany"
"Ružomberok";"ružomberok"
"Topoľčany";"topoľčany"
"Čadca";"čadca"
"Trebišov";"trebišov"
"Dubnica nad Váhom";"dubnica nad váhom"
"Rimavská Sobota";"rimavská sobota"
"Partizánske";"partizánske"
"Vranov nad Topľou";"vranov nad topľou"
"Šaľa";"šaľa"
"Dunajská Streda";"dunajská streda"
"Pezinok";"pezinok"
"Hlohovec";"hlohovec"
"Brezno";"brezno"
"Senica";"senica"
"Snina";"snina"
"Nové Mesto nad Váhom";"nové mesto nad váhom"
"Rožňava";"rožňava"
"Žiar nad Hronom";"žiar nad hronom"
"Dolný Kubín";"dolný kubín"
"Bánovce nad Bebravou";"bánovce nad bebravou"
"Senec";"senec"
"Púchov";"púchov"
"Handlová";"handlová"
"Malacky";"malacky"
"Kežmarok";"kežmarok"
"Stará Ľubovňa";"stará ľubovňa"
"Sereď";"sereď"
"Kysucké Nové Mesto";"kysucké nové mesto"
"Galanta";"galanta"
"Detva";"detva"
"Levoča";"levoča"
"Skalica";"skalica"
"Šamorín";"šamorín"
"Sabinov";"sabinov"
"Revúca";"revúca"
"Veľký Krtíš";"veľký krtíš"
"Myjava";"myjava"
"Zlaté Moravce";"zlaté moravce"
"Bytča";"bytča"
"Svidník";"svidník"
"Moldava nad Bodvou";"moldava nad bodvou"
"Nová Dubnica";"nová dubnica"
"Holíč";"holíč"
"Stropkov";"stropkov"
"Fiľakovo";"fiľakovo"
"Kolárovo";"kolárovo"
"Stupava";"stupava"
"Štúrovo";"štúrovo"
"Banská Štiavnica";"banská štiavnica"
"Šurany";"šurany"
"Tvrdošín";"tvrdošín"
"Veľké Kapušany";"veľké kapušany"
"Stará Turá";"stará turá"
"Modra";"modra"
"Krompachy";"krompachy"
"Vráble";"vráble"
"Veľký Meder";"veľký meder"
"Sečovce";"sečovce"
"Krupina";"krupina"
"Námestovo";"námestovo"
"Svit";"svit"
"Vrútky";"vrútky"
"Turzovka";"turzovka"
"Hriňová";"hriňová"
"Hnúšťa";"hnúšťa"
"Kráľovský Chlmec";"kráľovský chlmec"
"Liptovský Hrádok";"liptovský hrádok"
"Hurbanovo";"hurbanovo"
"Nová Baňa";"nová baňa"
"Šahy";"šahy"
"Trstená";"trstená"
"Tornaľa";"tornaľa"
"Želiezovce";"želiezovce"
"Krásno nad Kysucou";"krásno nad kysucou"
"Medzilaborce";"medzilaborce"
"Spišská Belá";"spišská belá"
"Turčianske Teplice";"turčianske teplice"
"Lipany";"lipany"
"Žarnovica";"žarnovica"
"Nemšová";"nemšová"
"Gelnica";"gelnica"
"Sobrance";"sobrance"
"Vrbové";"vrbové"
"Veľký Šariš";"veľký šariš"
"Rajec";"rajec"
"Poltár";"poltár"
"Dobšiná";"dobšiná"
"Svätý Jur";"svätý jur"
"Ilava";"ilava"
"Kremnica";"kremnica"
"Gabčíkovo";"gabčíkovo"
"Sládkovičovo";"sládkovičovo"
"Gbely";"gbely"
"Šaštín-Stráže";"šaštín-stráže"
"Sliač";"sliač"
"Brezová pod Bradlom";"brezová pod bradlom"
"Bojnice";"bojnice"
"Strážske";"strážske"
"Medzev";"medzev"
"Turany";"turany"
"Nováky";"nováky"
"Tisovec";"tisovec"
"Trenčianske Teplice";"trenčianske teplice"
"Leopoldov";"leopoldov"
"Giraltovce";"giraltovce"
"Vysoké Tatry";"vysoké tatry"
"Spišské Podhradie";"spišské podhradie"
"Hanušovce nad Topľou";"hanušovce nad topľou"
"Čierna nad Tisou";"čierna nad tisou"
"Tlmače";"tlmače"
"Spišské Vlachy";"spišské vlachy"
"Jelšava";"jelšava"
"Podolínec";"podolínec"
"Rajecké Teplice";"rajecké teplice"
"Spišská Stará Ves";"spišská stará ves"
"Modrý Kameň";"modrý kameň"
"Dudince";"dudince"
"Smižany";"smižany"
"Ivanka pri Dunaji";"ivanka pri dunaji"
"Bernolákovo";"bernolákovo"
"Jarovnice";"jarovnice"
"Beluša";"beluša"
"Čaňa";"čaňa"
"Oščadnica";"oščadnica"
"Raková";"raková"
"Zákamenné";"zákamenné"
"Skalité";"skalité"
"Čierny Balog";"čierny balog"
"Dunajská Lužná";"dunajská lužná"
"Tvrdošovce";"tvrdošovce"
"Dvory nad Žitavou";"dvory nad žitavou"
"Lendak";"lendak"
"Nesvady";"nesvady"
"Rabča";"rabča"
"Sučany";"sučany"
"Šenkvice";"šenkvice"
"Chorvátsky Grob";"chorvátsky grob"
"Pavlovce nad Uhom";"pavlovce nad uhom"
"Veľká Lomnica";"veľká lomnica"
"Čierne";"čierne"
"Veľké Úľany";"veľké úľany"
"Ľubica";"ľubica"
"Palárikovo";"palárikovo"
"Močenok";"močenok"
"Komjatice";"komjatice"
"Valaliky";"valaliky"
"Šoporňa";"šoporňa"
"Trenčianska Teplá";"trenčianska teplá"
"Rudňany";"rudňany"
"Markušovce";"markušovce"
"Bošany";"bošany"
"Kanianka";"kanianka"
"Veľké Zálužie";"veľké zálužie"
"Cífer";"cífer"
"Štiavnik";"štiavnik"
"Lednické Rovne";"lednické rovne"
"Kúty";"kúty"
"Terchová";"terchová"
"Podbrezová";"podbrezová"
"Čachtice";"čachtice"
"Nižná";"nižná"
"Teplička nad Váhom";"teplička nad váhom"
"Borský Mikuláš";"borský mikuláš"
"Lehota pod Vtáčnikom";"lehota pod vtáčnikom"
"Jelka";"jelka"
"Oravská Polhora";"oravská polhora"
"Valaská";"valaská"
"Veľké Rovné";"veľké rovné"
"Liptovské Sliače";"liptovské sliače"
"Trstice";"trstice"
"Varín";"varín"
"Tešedíkovo";"tešedíkovo"
"Marcelová";"marcelová"
"Bánov";"bánov"
"Okoč";"okoč"
"Zlaté Klasy";"zlaté klasy"
"Svrčinovec";"svrčinovec"
"Veľké Leváre";"veľké leváre"
"Štrba";"štrba"
"Turňa nad Bodvou";"turňa nad bodvou"
"Jasov";"jasov"
"Rohožník";"rohožník"
"Novoť";"novoť"
"Horná Súča";"horná súča"
"Veľká Ida";"veľká ida"
"Belá";"belá"
"Smolenice";"smolenice"
"Prakovce";"prakovce"
"Belá nad Cirochou";"belá nad cirochou"
"Oravská Lesná";"oravská lesná"
"Vlčany";"vlčany"
"Zborov";"zborov"
"Neded";"neded"
"Bystrany";"bystrany"
"Zohor";"zohor"
"Klenovec";"klenovec"
"Kecerovce";"kecerovce"
"Slovenská Ľupča";"slovenská ľupča"
"Horné Saliby";"horné saliby"
"Ľubotice";"ľubotice"
"Nálepkovo";"nálepkovo"
"Nesluša";"nesluša"
"Hruštín";"hruštín"
"Nitrianske Pravno";"nitrianske pravno"
"Trenčianska Turná";"trenčianska turná"
"Trenčianske Stankovce";"trenčianske stankovce"
"Rosina";"rosina"
"Zámutov";"zámutov"
"Pata";"pata"
"Likavka";"likavka"
"Veľký Kýr";"veľký kýr"
"Polomka";"polomka"
"Topoľníky";"topoľníky"
"Dolná Súča";"dolná súča"
"Huncovce";"huncovce"
"Kokava nad Rimavicou";"kokava nad rimavicou"
"Hranovnica";"hranovnica"
"Lozorno";"lozorno"
"Rakúsy";"rakúsy"
"Hliník nad Hronom";"hliník nad hronom"
"Nová Ľubovňa";"nová ľubovňa"
"Gajary";"gajary"
"Lomnička";"lomnička"
"Pribeta";"pribeta"
"Mútne";"mútne"
"Oravské Veselé";"oravské veselé"
"Mojmírovce";"mojmírovce"
"Lužianky";"lužianky"
"Tekovské Lužany";"tekovské lužany"
"Šarišské Michaľany";"šarišské michaľany"
"Liptovská Lúžna";"liptovská lúžna"
"Liesek";"liesek"
"Zvolenská Slatina";"zvolenská slatina"
"Selice";"selice"
"Horné Srnie";"horné srnie"
"Nová Bystrica";"nová bystrica"
"Staškov";"staškov"
"Vechec";"vechec"
"Sečovská Polianka";"sečovská polianka"
"Poproč";"poproč"
"Rovinka";"rovinka"
"Veľké Kostoľany";"veľké kostoľany"
"Svätý Peter";"svätý peter"
"Závod";"závod"
"Vysoká nad Kysucou";"vysoká nad kysucou"
"Stará Bystrica";"stará bystrica"
"Heľpa";"heľpa"
"Topoľčianky";"topoľčianky"
"Zázrivá";"zázrivá"
"Chynorany";"chynorany"
"Spišský Štiavnik";"spišský štiavnik"
"Jakubany";"jakubany"
"Višňové";"višňové"
"Raslavice";"raslavice"
"Trnovec nad Váhom";"trnovec nad váhom"
"Bystré";"bystré"
"Richnava";"richnava"
"Pečovská Nová Ves";"pečovská nová ves"
"Ladce";"ladce"
"Vrakúň";"vrakúň"
"Krásnohorské Podhradie";"krásnohorské podhradie"
"Družstevná pri Hornáde";"družstevná pri hornáde"
"Očová";"očová"
"Zeleneč";"zeleneč"
"Strečno";"strečno"
"Veľká Mača";"veľká mača"
"Kopčany";"kopčany"
"Dolné Vestenice";"dolné vestenice"
"Chtelnica";"chtelnica"
"Lehnice";"lehnice"
"Drahovce";"drahovce"
"Brestovany";"brestovany"
"Špačince";"špačince"
"Podhorany";"podhorany"
"Svodín";"svodín"
"Papradno";"papradno"
"Čaklov";"čaklov"
"Košeca";"košeca"
"Moravské Lieskové";"moravské lieskové"
"Soľ";"soľ"
"Most pri Bratislave";"most pri bratislave"
"Solčany";"solčany"
"Spišské Bystré";"spišské bystré"
"Spišský Štvrtok";"spišský štvrtok"
"Slovenský Grob";"slovenský grob"
"Ivanka pri Nitre";"ivanka pri nitre"
"Stakčín";"stakčín"
"Široké";"široké"
"Liptovská Teplička";"liptovská teplička"
"Závadka nad Hronom";"závadka nad hronom"
"Oslany";"oslany"
"Tomášov";"tomášov"
"Zlatná na Ostrove";"zlatná na ostrove"
"Hrabušice";"hrabušice"
"Zemianska Olča";"zemianska olča"
"Divina";"divina"
"Kamenica nad Cirochou";"kamenica nad cirochou"
"Veľký Biel";"veľký biel"
"Rozhanovce";"rozhanovce"
"Važec";"važec"
"Brodské";"brodské"
"Plavecký Štvrtok";"plavecký štvrtok"
"Kysucký Lieskovec";"kysucký lieskovec"
"Budmerice";"budmerice"
"Cinobaňa";"cinobaňa"
"Plešivec";"plešivec"
"Moravany nad Váhom";"moravany nad váhom"
"Batizovce";"batizovce"
"Klokočov";"klokočov"
"Lokca";"lokca"
"Klin";"klin"
"Streda nad Bodrogom";"streda nad bodrogom"
"Sačurov";"sačurov"
"Šúrovce";"šúrovce"
"Bučany";"bučany"
"Pohorelá";"pohorelá"
"Dolná Krupá";"dolná krupá"
"Pliešovce";"pliešovce"
"Malinovo";"malinovo"
"Zbehy";"zbehy"
"Stráne pod Tatrami";"stráne pod tatrami"
"Boleráz";"boleráz"
"Drietoma";"drietoma"
"Nový Život";"nový život"
"Zemné";"zemné"
"Soblahov";"soblahov"
"Letanovce";"letanovce"
"Žehra";"žehra"
"Jesenské";"jesenské"
"Zborov nad Bystricou";"zborov nad bystricou"
"Jablonica";"jablonica"
"Diakovce";"diakovce"
"Zubrohlava";"zubrohlava"
"Gbelce";"gbelce"
"Hrnčiarovce nad Parnou";"hrnčiarovce nad parnou"
"Spišská Teplica";"spišská teplica"
"Častá";"častá"
"Pruské";"pruské"
"Branč";"branč"
"Nová Dedinka";"nová dedinka"
"Zavar";"zavar"
"Lehota";"lehota"
"Vysoká pri Morave";"vysoká pri morave"
"Kalinovo";"kalinovo"
"Valaská Belá";"valaská belá"
"Madunice";"madunice"
"Viničné";"viničné"
"Selce";"selce"
"Vojčice";"vojčice"
"Udiča";"udiča"
"Drienovec";"drienovec"
"Kapušany";"kapušany"
"Východná";"východná"
"Drienov";"drienov"
"Banka";"banka"
"Trhová Hradská";"trhová hradská"
"Moravský Svätý Ján";"moravský svätý ján"
"Lovinobaňa";"lovinobaňa"
"Brusno";"brusno"
"Veľké Ripňany";"veľké ripňany"
"Lysá pod Makytou";"lysá pod makytou"
"Váhovce";"váhovce"
"Sihelné";"sihelné"
"Lisková";"lisková"
"Krížová Ves";"krížová ves"
