"kraj";"okres";"obyvatelov";"obec"
"Bratislavský kraj";"BA";422932;"Bratislava"
"Košický kraj";"KE";239200;"Košice"
"Prešovský kraj";"Prešov";89959;"Prešov"
"Žilinský kraj";"Žilina";81114;"Žilina"
"Banskobystrický kraj";"Banská Bystrica";78758;"Banská Bystrica"
"Nitriansky kraj";"Nitra";77670;"Nitra"
"Trnavský kraj";"Trnava";65596;"Trnava"
"Trenčiansky kraj";"Trenčín";55698;"Trenčín"
"Žilinský kraj";"Martin";55687;"Martin"
"Prešovský kraj";"Poprad";52037;"Poprad"
"Trenčiansky kraj";"Prievidza";47143;"Prievidza"
"Banskobystrický kraj";"Zvolen";42868;"Zvolen"
"Trenčiansky kraj";"Považská Bystrica";40373;"Považská Bystrica"
"Košický kraj";"Michalovce";39455;"Michalovce"
"Nitriansky kraj";"Nové Zámky";38721;"Nové Zámky"
"Košický kraj";"Spišská Nová Ves";37594;"Spišská Nová Ves"
"Nitriansky kraj";"Komárno";34333;"Komárno"
"Prešovský kraj";"Humenné";33945;"Humenné"
"Nitriansky kraj";"Levice";33773;"Levice"
"Prešovský kraj";"Bardejov";32912;"Bardejov"
"Žilinský kraj";"Liptovský Mikuláš";31534;"Liptovský Mikuláš"
"Banskobystrický kraj";"Lučenec";28099;"Lučenec"
"Trnavský kraj";"Piešťany";27855;"Piešťany"
"Žilinský kraj";"Ružomberok";27284;"Ružomberok"
"Nitriansky kraj";"Topoľčany";26196;"Topoľčany"
"Žilinský kraj";"Čadca";24579;"Čadca"
"Košický kraj";"Trebišov";24500;"Trebišov"
"Trenčiansky kraj";"Ilava";24497;"Dubnica nad Váhom"
"Banskobystrický kraj";"Rimavská Sobota";24217;"Rimavská Sobota"
"Trenčiansky kraj";"Partizánske";23247;"Partizánske"
"Prešovský kraj";"Vranov nad Topľou";22762;"Vranov nad Topľou"
"Nitriansky kraj";"Šaľa";22714;"Šaľa"
"Trnavský kraj";"Dunajská Streda";22652;"Dunajská Streda"
"Bratislavský kraj";"Pezinok";22467;"Pezinok"
"Trnavský kraj";"Hlohovec";22079;"Hlohovec"
"Banskobystrický kraj";"Brezno";21215;"Brezno"
"Trnavský kraj";"Senica";20380;"Senica"
"Prešovský kraj";"Snina";20174;"Snina"
"Trenčiansky kraj";"Nové Mesto nad Váhom";20084;"Nové Mesto nad Váhom"
"Košický kraj";"Rožňava";19397;"Rožňava"
"Banskobystrický kraj";"Žiar nad Hronom";19370;"Žiar nad Hronom"
"Žilinský kraj";"Dolný Kubín";19196;"Dolný Kubín"
"Trenčiansky kraj";"Bánovce nad Bebravou";18823;"Bánovce nad Bebravou"
"Bratislavský kraj";"Senec";18658;"Senec"
"Trenčiansky kraj";"Púchov";17962;"Púchov"
"Trenčiansky kraj";"Prievidza";17385;"Handlová"
"Bratislavský kraj";"Malacky";17253;"Malacky"
"Prešovský kraj";"Kežmarok";16558;"Kežmarok"
"Prešovský kraj";"Stará Ľubovňa";16347;"Stará Ľubovňa"
"Trnavský kraj";"Galanta";15923;"Sereď"
"Žilinský kraj";"Kysucké Nové Mesto";15324;"Kysucké Nové Mesto"
"Trnavský kraj";"Galanta";15021;"Galanta"
"Banskobystrický kraj";"Detva";14887;"Detva"
"Prešovský kraj";"Levoča";14811;"Levoča"
"Trnavský kraj";"Skalica";14806;"Skalica"
"Trnavský kraj";"Dunajská Streda";13147;"Šamorín"
"Prešovský kraj";"Sabinov";12717;"Sabinov"
"Banskobystrický kraj";"Revúca";12466;"Revúca"
"Banskobystrický kraj";"Veľký Krtíš";12255;"Veľký Krtíš"
"Trenčiansky kraj";"Myjava";11953;"Myjava"
"Nitriansky kraj";"Zlaté Moravce";11787;"Zlaté Moravce"
"Žilinský kraj";"Bytča";11306;"Bytča"
"Prešovský kraj";"Svidník";11289;"Svidník"
"Košický kraj";"Košice-okolie";11260;"Moldava nad Bodvou"
"Trenčiansky kraj";"Ilava";11186;"Nová Dubnica"
"Trnavský kraj";"Skalica";11162;"Holíč"
"Prešovský kraj";"Stropkov";10713;"Stropkov"
"Banskobystrický kraj";"Lučenec";10687;"Fiľakovo"
"Nitriansky kraj";"Komárno";10614;"Kolárovo"
"Bratislavský kraj";"Malacky";10597;"Stupava"
"Nitriansky kraj";"Nové Zámky";10524;"Štúrovo"
"Banskobystrický kraj";"Banská Štiavnica";10210;"Banská Štiavnica"
"Nitriansky kraj";"Nové Zámky";9960;"Šurany"
"Žilinský kraj";"Tvrdošín";9252;"Tvrdošín"
"Košický kraj";"Michalovce";9155;"Veľké Kapušany"
