year;kraj;okres;mesto;suma_spolu;suma_na_obyvatela;pocet;priemerna_suma;strana
2011;Banskobystrický kraj;Banská Bystrica;Badín;105891;56.4450959488273;4;26472.75;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Banská Bystrica;153177649.2189;1944.91542724422;4271;35864.5865649497;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Čerín;0;0;2;0;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Dúbravica;2318.7;5.93017902813299;1;2318.7;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Hiadeľ;6203;12.068093385214;2;3101.5;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Horná Mičiná;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Králiky;3479.88;5.48876971608833;2;1739.94;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Kynceľová;1200;3.15789473684211;1;1200;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Ľubietová;20264;17.4689655172414;3;6754.66666666667;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Lučatín;46012;70.678955453149;6;7668.66666666667;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Motyčky;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Nemce;0;0;2;0;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Podkonice;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Poniky;119693.39;76.530300511509;4;29923.3475;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Povrazník;5052.11;36.8767153284671;1;5052.11;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Priechod;2048.32;2.255859030837;2;1024.16;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Slovenská Ľupča;272488.96;84.5976280658181;163;1671.71141104294;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Staré Hory;10;0.018450184501845;1;10;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Tajov;24382080.15;41185.9461993243;308;79162.5978896104;objednavatel
2011;Banskobystrický kraj;Banská Bystrica;Vlkanová;1858.62;1.43412037037037;3;619.54;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Baďan;111500;538.647342995169;3;37166.6666666667;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Banská Belá;10345.02;8.50741776315789;2;5172.51;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Banská Štiavnica;112980.513;11.0656721841332;89;1269.44396629213;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Beluj;20000;161.290322580645;1;20000;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Kozelník;302.16;1.65114754098361;1;302.16;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Prenčov;111500;169.195751138088;4;27875;objednavatel
2011;Banskobystrický kraj;Banská Štiavnica;Svätý Anton;71838.05;58.8354217854218;53;1355.43490566038;objednavatel
2011;Banskobystrický kraj;Brezno;Beňuš;7264503.91;6219.6095119863;129;56313.9837984496;objednavatel
2011;Banskobystrický kraj;Brezno;Brezno;781859.2;36.8540749469715;29;26960.6620689655;objednavatel
2011;Banskobystrický kraj;Brezno;Čierny Balog;9943457.21;1909.99946407991;260;38244.0661923077;objednavatel
2011;Banskobystrický kraj;Brezno;Heľpa;8000;2.93147673140344;1;8000;objednavatel
2011;Banskobystrický kraj;Brezno;Hronec;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Brezno;Michalová;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Brezno;Mýto pod Ďumbierom;3000;5.78034682080925;1;3000;objednavatel
2011;Banskobystrický kraj;Brezno;Nemecká;21954;12.1292817679558;6;3659;objednavatel
2011;Banskobystrický kraj;Brezno;Osrblie;7914.82;20.2425063938619;2;3957.41;objednavatel
2011;Banskobystrický kraj;Brezno;Pohorelá;20912.43;9.14804461942257;2;10456.215;objednavatel
2011;Banskobystrický kraj;Brezno;Pohronská Polhora;8172;4.61434217955957;6;1362;objednavatel
2011;Banskobystrický kraj;Brezno;Polomka;24088.56;7.9578989098117;4;6022.14;objednavatel
2011;Banskobystrický kraj;Brezno;Sihla;14.4;0.0716417910447761;1;14.4;objednavatel
2011;Banskobystrický kraj;Brezno;Šumiac;7350;5.61068702290076;2;3675;objednavatel
2011;Banskobystrický kraj;Brezno;Telgárt;11.12;0.0072490221642764;1;11.12;objednavatel
2011;Banskobystrický kraj;Detva;Detva;187144.31;12.5709887821589;18;10396.9061111111;objednavatel
2011;Banskobystrický kraj;Detva;Detvianska Huta;3716.41;5.27899147727273;1;3716.41;objednavatel
2011;Banskobystrický kraj;Detva;Horný Tisovník;20000;96.6183574879227;1;20000;objednavatel
2011;Banskobystrický kraj;Detva;Hriňová;267321.9;35.1184839726747;18;14851.2166666667;objednavatel
2011;Banskobystrický kraj;Detva;Klokoč;113889.36;226.871235059761;6;18981.56;objednavatel
2011;Banskobystrický kraj;Detva;Korytárky;90;0.0933609958506224;1;90;objednavatel
2011;Banskobystrický kraj;Detva;Látky;5580;9.82394366197183;4;1395;objednavatel
2011;Banskobystrický kraj;Detva;Podkriváň;20000;34.3642611683849;1;20000;objednavatel
2011;Banskobystrický kraj;Krupina;Bzovík;90;0.0786026200873362;1;90;objednavatel
2011;Banskobystrický kraj;Krupina;Cerovo;4417.36;7.48705084745763;11;401.578181818182;objednavatel
2011;Banskobystrický kraj;Krupina;Dudince;1852.55;1.29639608117565;2;926.275;objednavatel
2011;Banskobystrický kraj;Krupina;Krupina;233566.99;29.3979848961611;22;10616.6813636364;objednavatel
2011;Banskobystrický kraj;Krupina;Ladzany;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Krupina;Litava;1737.4;2.2651890482399;2;868.7;objednavatel
2011;Banskobystrický kraj;Krupina;Sebechleby;2771.28;2.28464962901896;3;923.76;objednavatel
2011;Banskobystrický kraj;Krupina;Senohrad;285;0.366323907455013;6;47.5;objednavatel
2011;Banskobystrický kraj;Krupina;Zemiansky Vrbovok;218.28;2.29768421052632;1;218.28;objednavatel
2011;Banskobystrický kraj;Lučenec;Biskupice;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Lučenec;Čamovce;92700;153.731343283582;2;46350;objednavatel
2011;Banskobystrický kraj;Lučenec;Dobroč;92700;145.297805642633;1;92700;objednavatel
2011;Banskobystrický kraj;Lučenec;Fiľakovo;22948.46;2.14732478712454;11;2086.22363636364;objednavatel
2011;Banskobystrický kraj;Lučenec;Halič;23000;13.6579572446556;2;11500;objednavatel
2011;Banskobystrický kraj;Lučenec;Kotmanová;23716;73.4241486068111;2;11858;objednavatel
2011;Banskobystrický kraj;Lučenec;Lehôtka;1002.36;2.96556213017751;1;1002.36;objednavatel
2011;Banskobystrický kraj;Lučenec;Lipovany;90000;342.205323193916;1;90000;objednavatel
2011;Banskobystrický kraj;Lučenec;Ľuboreč;50;0.151057401812689;1;50;objednavatel
2011;Banskobystrický kraj;Lučenec;Lučenec;406305.53;14.4597861133848;117;3472.69683760684;objednavatel
2011;Banskobystrický kraj;Lučenec;Lupoč;92245;382.759336099585;1;92245;objednavatel
2011;Banskobystrický kraj;Lučenec;Mýtna;112700;96.5724078834619;4;28175;objednavatel
2011;Banskobystrický kraj;Lučenec;Nitra nad Ipľom;42000;117.31843575419;2;21000;objednavatel
2011;Banskobystrický kraj;Lučenec;Pleš;376743.63;1728.18178899083;14;26910.2592857143;objednavatel
2011;Banskobystrický kraj;Lučenec;Podrečany;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Lučenec;Praha;865295.8;10301.1404761905;43;20123.1581395349;objednavatel
2011;Banskobystrický kraj;Lučenec;Prša;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Lučenec;Šávoľ;92700;169.78021978022;3;30900;objednavatel
2011;Banskobystrický kraj;Lučenec;Šiatorská Bukovinka;92700;294.285714285714;1;92700;objednavatel
2011;Banskobystrický kraj;Lučenec;Trenč;1082785.7;2333.58987068966;44;24608.7659090909;objednavatel
2011;Banskobystrický kraj;Lučenec;Veľké Dravce;20090;29.762962962963;2;10045;objednavatel
2011;Banskobystrický kraj;Poltár;České Brezovo;250;0.492125984251969;1;250;objednavatel
2011;Banskobystrický kraj;Poltár;Hrnčiarska Ves;112699;113.837373737374;2;56349.5;objednavatel
2011;Banskobystrický kraj;Poltár;Kokava nad Rimavicou;111700;37.4706474337471;3;37233.3333333333;objednavatel
2011;Banskobystrický kraj;Poltár;Málinec;22000;14.4356955380577;2;11000;objednavatel
2011;Banskobystrický kraj;Poltár;Poltár;1061.7;0.185029627047752;5;212.34;objednavatel
2011;Banskobystrický kraj;Poltár;Sušany;92696;209.2460496614;1;92696;objednavatel
2011;Banskobystrický kraj;Poltár;Šoltýska;9;0.072;1;9;objednavatel
2011;Banskobystrický kraj;Poltár;Utekáč;20000;19.9004975124378;1;20000;objednavatel
2011;Banskobystrický kraj;Revúca;Gemer;48030.64;54.5183200908059;10;4803.064;objednavatel
2011;Banskobystrický kraj;Revúca;Chvalová;20000;106.951871657754;1;20000;objednavatel
2011;Banskobystrický kraj;Revúca;Chyžné;92700;220.190023752969;1;92700;objednavatel
2011;Banskobystrický kraj;Revúca;Jelšava;35841.9;11.2321842682545;6;5973.65;objednavatel
2011;Banskobystrický kraj;Revúca;Leváre;50;0.515463917525773;2;25;objednavatel
2011;Banskobystrický kraj;Revúca;Lubeník;93258;70.5431164901664;3;31086;objednavatel
2011;Banskobystrický kraj;Revúca;Magnezitovce;120;0.263157894736842;1;120;objednavatel
2011;Banskobystrický kraj;Revúca;Mokrá Lúka;491;0.947876447876448;2;245.5;objednavatel
2011;Banskobystrický kraj;Revúca;Muráň;458080;370.914979757085;5;91616;objednavatel
2011;Banskobystrický kraj;Revúca;Muránska Huta;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Revúca;Muránska Zdychava;0;0;1;0;objednavatel
2011;Banskobystrický kraj;Revúca;Rašice;126.76;1.07423728813559;4;31.69;objednavatel
2011;Banskobystrický kraj;Revúca;Ratková;116228;202.487804878049;4;29057;objednavatel
2011;Banskobystrický kraj;Revúca;Ratkovské Bystré;112700;301.336898395722;3;37566.6666666667;objednavatel
2011;Banskobystrický kraj;Revúca;Revúca;3910454.84;313.689622974491;217;18020.5292165899;objednavatel
2011;Banskobystrický kraj;Revúca;Sirk;20000;17.0940170940171;1;20000;objednavatel
2011;Banskobystrický kraj;Revúca;Skerešovo;20000;80.6451612903226;1;20000;objednavatel
2011;Banskobystrický kraj;Revúca;Tornaľa;11046.96;1.51121203830369;21;526.045714285714;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Barca;4200;7.86516853932584;1;4200;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Bátka;500;0.539374325782093;1;500;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Budikovany;20000;333.333333333333;1;20000;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Cakov;29200;96.3696369636964;3;9733.33333333333;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Dubno;20000;131.578947368421;1;20000;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Gemerské Dechtáre;20000;44.3458980044346;1;20000;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Gemerský Jablonec;92700;132.239657631954;1;92700;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Hajnáčka;117700;99.0740740740741;4;29425;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Hnúšťa;39891.9;5.24134804887663;6;6648.65;objednavatel
2011;Banskobystrický kraj;Rimavská Sobota;Hostice;2798;2.71387002909796;1;2798;objednavatel
