year;month;ym;NazovRezortu;suma_spolu;pocet;avg
2011;1;2011-01-01;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;3557886.82;33;107814.752121212
2011;1;2011-01-01;Ministerstvo financií SR;29371.8;1;29371.8
2011;1;2011-01-01;Ministerstvo hospodárstva SR ;11948432.48;35;341383.785142857
2011;1;2011-01-01;Ministerstvo kultúry SR;89307.92;36;2480.77555555556
2011;1;2011-01-01;Ministerstvo obrany SR;6614164.36;83;79688.7272289157
2011;1;2011-01-01;Ministerstvo práce, sociálnych vecí a rodiny SR;69310;7;9901.42857142857
2011;1;2011-01-01;Ministerstvo spravodlivosti SR;523086.41;110;4755.331
2011;1;2011-01-01;Ministerstvo školstva, vedy, výskumu a športu SR;1840322.8;10;184032.28
2011;1;2011-01-01;Ministerstvo vnútra SR;697077.667;19;36688.2982631579
2011;1;2011-01-01;Ministerstvo zahraničných vecí SR;8835.4;4;2208.85
2011;1;2011-01-01;Ministerstvo zdravotníctva SR;5195772.376;68;76408.4172941177
2011;1;2011-01-01;Ministerstvo životného prostredia SR;109219.52;4;27304.88
2011;1;2011-01-01;Protimonopolný úrad SR;121.27;3;40.4233333333333
2011;1;2011-01-01;Rozhlas a televizia Slovenska;5713.5;6;952.25
2011;1;2011-01-01;Slovenská poľnohospodárska univerzita v Nitre;51284.6;3;17094.8666666667
2011;1;2011-01-01;Sociálna poisťovňa;11898.97;3;3966.32333333333
2011;1;2011-01-01;Správa štátnych hmotných rezerv SR;552000;1;552000
2011;1;2011-01-01;Univerzita Konštantína Filozofa v Nitre;313130.27;7;44732.8957142857
2011;1;2011-01-01;Univerzita Pavla Jozefa Šafárika v Košiciach ;135046.2;1;135046.2
2011;1;2011-01-01;Úrad jadrového dozoru SR;192999;1;192999
2011;1;2011-01-01;Úrad pre normalizáciu, metrológiu a skúšobníctvo SR;1405.92;6;234.32
2011;1;2011-01-01;Úrad pre verejné obstarávanie;14016;1;14016
2011;1;2011-01-01;Úrad vlády SR;17475.9;8;2184.4875
2011;2;2011-02-01;Agrokomplex – Výstavníctvo Nitra, š.p.;49385.1;28;1763.75357142857
2011;2;2011-02-01;Katolícka univerzita v Ružomberku;45436.98;24;1893.2075
2011;2;2011-02-01;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;49484198.76;345;143432.460173913
2011;2;2011-02-01;Ministerstvo financií SR;1301125966.1;23;56570694.1782609
2011;2;2011-02-01;Ministerstvo hospodárstva SR ;15799252.25;134;117904.867537313
2011;2;2011-02-01;Ministerstvo kultúry SR;462469.4403;79;5854.04354810127
2011;2;2011-02-01;Ministerstvo obrany SR;24083746.03;159;151470.10081761
2011;2;2011-02-01;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;23619102.08;144;164021.542222222
2011;2;2011-02-01;Ministerstvo práce, sociálnych vecí a rodiny SR;24502380.87;54;453747.793888889
2011;2;2011-02-01;Ministerstvo spravodlivosti SR;517343.56;216;2395.10907407407
2011;2;2011-02-01;Ministerstvo školstva, vedy, výskumu a športu SR;1405231289.82;252;5576314.64214286
2011;2;2011-02-01;Ministerstvo vnútra SR;7372252.397;280;26329.4728464286
2011;2;2011-02-01;Ministerstvo zahraničných vecí SR;4721.4;26;181.592307692308
2011;2;2011-02-01;Ministerstvo zdravotníctva SR;1374755570.97;351;3916682.53837607
2011;2;2011-02-01;Ministerstvo životného prostredia SR;46656581.37;120;388804.84475
2011;2;2011-02-01;Národný bezpečnostný úrad;1;3;0.333333333333333
2011;2;2011-02-01;Prešovská univerzita v Prešove;2296200.18;5;459240.036
2011;2;2011-02-01;Protimonopolný úrad SR;291.86;8;36.4825
2011;2;2011-02-01;Rozhlas a televizia Slovenska;303541.23;430;705.909837209302
2011;2;2011-02-01;Slovenská poľnohospodárska univerzita v Nitre;186142.34;12;15511.8616666667
2011;2;2011-02-01;Slovenská technická univerzita v Bratislave;953326.85;8;119165.85625
2011;2;2011-02-01;Sociálna poisťovňa;593206.77;12;49433.8975
2011;2;2011-02-01;Správa štátnych hmotných rezerv SR;1656161.6;5;331232.32
2011;2;2011-02-01;Štatistický úrad SR;181306.23;7;25900.89
2011;2;2011-02-01;Technická univerzita v Košiciach;2145952.66;20;107297.633
2011;2;2011-02-01;Technická univerzita vo Zvolene;223511.18;6;37251.8633333333
2011;2;2011-02-01;Tlačová agentúra Slovenskej republiky;0;1;0
2011;2;2011-02-01;Trenčianska univerzita Alexandra Dubčeka v Trenčíne;265.5;2;132.75
