predmet;zs1;zs2;NazovRezortu;datum_ucinnost;datum_platnost_do;suma_spolu;link
Zmluva o poskytnutí nenávratného finančného príspevku;Ministerstvo životného prostredia Slovenskej republiky;BUKÓZA INVEST spol. s.r.o.;Ministerstvo životného prostredia SR;2018-10-19;2028-12-31;12442815;http://www.crz.gov.sk/index.php?ID=3696072
Zmluva na dodávky hnedého uhlia na roky 2018-2019;Martinská teplárenská, a.s.;SLOVENERGO spol. s.r.o.;Ministerstvo hospodárstva SR ;2018-10-19;2019-03-31;3383100;http://www.crz.gov.sk/index.php?ID=3696486
Kúpna zmluva č. 01258/2018-PKZ-K40233/18.00 - NDS, a.s., k. ú. Podunajské Biskupice;Národná diaľničná spoločnosť, a.s.;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;1662213.31;http://www.crz.gov.sk/index.php?ID=3696260
Zmenový list 012/2018;Finančné riaditeľstvo SR;ASSECo Central Europe a.s.;Ministerstvo financií SR;2018-10-19;NA;1316820.65;http://www.crz.gov.sk/index.php?ID=3696818
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Číslo zmluvy: KŽP-PO4-SC431-2017-19/K303;Ministerstvo životného prostredia Slovenskej republiky;Spojená škola internátna, Poľná 1, Trebišov s OZ: OU intern., Poľná 1, TV, Prakt.škola intern., Poľná 1, TV, Špec.ZŠ intern., Poľná 1, TV, CŠPP, Poľná 1;Ministerstvo hospodárstva SR ;2018-10-19;NA;1213096.38;http://www.crz.gov.sk/index.php?ID=3695485
Kúpna zmluva č. 00786/2017-PKZ-K40165/17.00 - NDS, a.s., k. ú. Brodno, okres Žilina;Národná diaľničná spoločnosť;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;1095542.71;http://www.crz.gov.sk/index.php?ID=3696256
Zmluva o zámene správy nehnuteľného majetku štátu - v k.ú. Radvaň a k.ú. Štrba;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;Ministerstvo práce, sociálnych vecí a rodiny Slovenskej republiky;Ministerstvo životného prostredia SR;2018-10-19;NA;860000;http://www.crz.gov.sk/index.php?ID=3695811
Čiastková zmluva č. 2 k Rámcovej dohode č. 01/2018;Poľnonákup TATRY, a.s.;KT Trade Slovakia s.r.o.;Správa štátnych hmotných rezerv SR;2018-10-19;2019-01-18;767699.625;http://www.crz.gov.sk/index.php?ID=3695740
Kúpna zmluva č. 01059/2018-PKZ-K40205/18.00 -NDS, a.s., k. ú. Krásna , okres Košice IV;Národná diaľničná spoločnosť, a.s.;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;557926.98;http://www.crz.gov.sk/index.php?ID=3696258
Kúpna zmluva č. 01567/2018-PKZ-K40286/18.00 - NDS, a.s., k. ú. Trnavka, okres Bratislava II;Národná diaľničná spoločnosť ;Slovenský pozemkový fond;Slovenský pozemkový fond;2018-10-28;NA;548455.88;http://www.crz.gov.sk/index.php?ID=3696262
zmluva o dielo;Železnice Slovenskej republiky;TRANSSERVIS,a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-19;NA;280720;http://www.crz.gov.sk/index.php?ID=3695799
Zmluva o poskytnutí prostriedkov č. APVV-17-0028;Centrum biovied SAV;Agentúra na podporu výskumu a vývoja;Slovenská akadémia vied;2018-10-19;2022-07-31;249998;http://www.crz.gov.sk/index.php?ID=3696731
Zmluva o poskytnutí prostriedkov č. APVV-17-0297;Centrum biovied SAV;Agentúra na podporu výskumu a vývoja;Slovenská akadémia vied;2018-10-19;2022-06-30;249100;http://www.crz.gov.sk/index.php?ID=3696759
ZMLUVA O POSKYTNUTÍ PROSTRIEDKOV č. APVV-17-0616;Agentúra na podporu výskumu a vývoja;Centrum biológie rastlín a biodiverzity SAV;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-19;NA;239000;http://www.crz.gov.sk/index.php?ID=3696919
Dodatok č. 2 k rámcovej dohode č. Z201755955_Z;Všeobecná zdravotná poisťovňa a.s.;ANY Biztonsági Nyomda Nyrt.;Všeobecná zdravotná poisťovňa a.s.;2018-10-19;2019-01-29;222600;http://www.crz.gov.sk/index.php?ID=3696503
ZMLUVA O POSKYTNUTÍ  PROSTRIEDKOV č. APVV-17-0561;Univerzita Pavla Jozefa Šafárika v Košiciach ;Agentúra na podporu výskumu a vývoja ;Univerzita Pavla Jozefa Šafárika v Košiciach ;2018-10-19;2022-07-31;209708;http://www.crz.gov.sk/index.php?ID=3696803
Zmluva o poskytnutí dotácie;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;Hydromeliorácie, štátny podnik;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-19;2019-12-31;2e+05;http://www.crz.gov.sk/index.php?ID=3696565
Zmluva o nájme nebytových priestorov;Všeobecná zdravotná poisťovňa a.s.;Dokument Logistik, s.r.o.;Všeobecná zdravotná poisťovňa a.s.;NA;NA;179082.48;http://www.crz.gov.sk/index.php?ID=3695670
Zmluva o dielo;Slovenská elektrizačná prenosová sústava, a.s.;Data System Soft, spol. s r.o.;Slovenská elektrizačná prenosová sústava, a.s. ;2018-10-19;NA;177274.8;http://www.crz.gov.sk/index.php?ID=3696462
Zmluva o dielo č.13/2018;Archeologický ústav Slovenská akadémia vied;EUSTREAM,  a.s.;Slovenská akadémia vied;2018-10-19;2021-03-31;175200;http://www.crz.gov.sk/index.php?ID=3696797
Z M L U V A č. 129486 08U02 o poskytnutí podpory z Environmentálneho fondu formou dotácie;Obec Kriváň;Environmentálny fond;Ministerstvo životného prostredia SR;2018-10-19;NA;170000;http://www.crz.gov.sk/index.php?ID=3696064
ZMLUVA O POSKYTNUTÍ PROSTRIEDKOV č. APVV-17-0020;Agentúra na podporu výskumu a vývoja;Ústav experimentálnej fyziky SAV;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-19;NA;166496;http://www.crz.gov.sk/index.php?ID=3696936
Kúpna zmluva;Mesto Holíč;Eurokomp group s. r. o.;Elektronický kontraktačný systém;2018-10-19;NA;158000;http://www.crz.gov.sk/index.php?ID=3697272
Zmluva o poskytnutí nenávratného finančného príspevku;Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky v zastúpení Ministerstvo hospodárstva Slovenskej republiky;DIN - TECHNIK spol. s r.o.;Ministerstvo hospodárstva SR ;2018-10-19;NA;157182;http://www.crz.gov.sk/index.php?ID=3695804
Čiastková zmluva k Rámcovej dohode č. RD/14/2017/OVO/UK;Univerzita Komenského v Bratislave, Rektorát;Aliter Technologies, a.s.;Univerzita Komenského v Bratislave;2018-10-19;NA;132565.48;http://www.crz.gov.sk/index.php?ID=3696448
Zmluva o spolupráci a poskytnutí prostriedkov č. MTF-PZ-APVV-17-0025;PRVÁ ZVÁRAČSKÁ, a.s.;Slovenská technická univerzita v Bratislave;Slovenská technická univerzita v Bratislave;2018-10-19;2022-06-30;120164;http://www.crz.gov.sk/index.php?ID=3696110
Dodatok č. 1 k Zmluve o dielo 1045/2018-PN - "Odstraňovanie bariér vo vodnom toku Turiec, rkm 7,530" - naviac práce;SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik;Swietelsky-Slovakia spol. s r.o.;Ministerstvo životného prostredia SR;2018-10-19;NA;118330.95;http://www.crz.gov.sk/index.php?ID=3697238
Zmluva o poskytnutí nenávratného finančného príspevku č. 074PO220011;Pôdohospodárska platobná agentúra;obec Nižné Ružbachy;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-19;NA;115769.53;http://www.crz.gov.sk/index.php?ID=3697176
Kúpna zmluva;Stredoslovenský ústav srdcových a cievnych chorôb, a.s.;MEDITRADE spol. s r.o.;Elektronický kontraktačný systém;2018-10-19;NA;109800;http://www.crz.gov.sk/index.php?ID=3697468
Zmluva o poskytnutí nenávratného finančného príspevku č. 074PO220027;Pôdohospodárska platobná agentúra;Obec ÚDOL;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-19;NA;104371.76;http://www.crz.gov.sk/index.php?ID=3697190
Zmluva o spolupráci pre národný projekt „Podpora predprimárneho vzdelávania detí z marginalizovaných rómskych komunít I.“ kód ITMS2014+: 312051Q354;Ministerstvo vnútra SR (Úrad splnomocnenca vlády SR pre rómske komunity);Obec Vydrník;Ministerstvo vnútra SR;2018-10-19;2020-10-31;102363.03;http://www.crz.gov.sk/index.php?ID=3696317
Zmluva o poskytnutí nenávratného finančného príspevku č. 074BB220078;Pôdohospodárska platobná agentúra;Obec Čabradský Vrbovok;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-19;NA;1e+05;http://www.crz.gov.sk/index.php?ID=3697210
Zmluva o poskytnutí nenávratného finančného príspevku č. 074PO220034;Pôdohospodárska platobná agentúra;Obec Turcovce;Ministerstvo pôdohospodárstva a rozvoja vidieka SR;2018-10-19;NA;99900;http://www.crz.gov.sk/index.php?ID=3697231
