predmet;zs1;zs2;NazovRezortu;datum_ucinnost;datum_platnost_do;suma_spolu;link
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU;Železnice Slovenskej republiky;Ministerstvo dopravy a výstavby SR;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-04;NA;349583068.49;http://www.crz.gov.sk/index.php?ID=3667853
Zmluva o poskytnutí nenávratného finančného príspevku pre projekt "D1 Budimír - Bidovce".;Ministerstvo dopravy a výstavby SR;Národná diaľničná spoločnosť, a.s.;Ministerstvo dopravy, výstavby a regionálneho rozvoja SR;2018-10-17;NA;203568766.02;http://www.crz.gov.sk/index.php?ID=3692795
RÁMCOVÁ DOHODA O POSKYTOVANÍ ELEKTRONICKÝCH KOMUNIKAČNÝCH SLUŽIEB;Ministerstvo školstva, vedy, výskumu a športu SR;SWAN, a.s.;Ministerstvo školstva, vedy, výskumu a športu SR;2018-10-05;2022-10-05;64428186.14;http://www.crz.gov.sk/index.php?ID=3671384
Notárska zápisnica;Tatra banka, a. s.;Tepláreň Košice, a. s. v skratke TEKO, a. s.;Tepláreň Košice, a.s.;2018-10-04;2023-09-30;34412500;http://www.crz.gov.sk/index.php?ID=3669610
Notárska zápisnica ;Tatra banka, a. s.;Tepláreň Košice, a. s. v skratke TEKO, a. s.;Tepláreň Košice, a.s.;2018-10-04;2023-09-30;34412500;http://www.crz.gov.sk/index.php?ID=3669668
ZMLUVA O POSKYTOVANÍ SLUŽBY ŠTANDARDNEJ PODPORY, ÚDRŽBY A ROZVOJA IKT A NON-IKT INFRAŠTRUKTÚRY MINISTERSTVA VNÚTRA SLOVENSKEJ REPUBLIKY;Ministerstvo vnútra SR (Sekcia informatiky, telekomunikácií a bezpečnosti);Aliter Technologies, a.s;Ministerstvo vnútra SR;2018-10-03;NA;34133811.38;http://www.crz.gov.sk/index.php?ID=3666115
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Č. Z311071P371 zo dňa 8. októbra 2018;DataCentrum elektronizácie územnej samosprávy Slovenska;Ministerstvo dopravy a výstavby Slovenskej republiky;Úrad podpredsedu vlády SR pre investície a informatizáciu;2018-10-11;NA;31283191.41;http://www.crz.gov.sk/index.php?ID=3684927
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Č. Z311071P371 zo dňa 8. októbra 2018 ;DataCentrum elektronizácie územnej samosprávy SR;Ministerstvo dopravy a výstavby Slovenskej republiky;Ministerstvo financií SR;2018-10-12;NA;31283191.41;http://www.crz.gov.sk/index.php?ID=3685597
Zmluva o nájme veci s dojednaným právom kúpy;Záchranná zdravotná služba Bratislava;LeasePlan Slovakia, s.r.o.;Ministerstvo zdravotníctva SR;2018-10-09;2023-10-09;30992145.6;http://www.crz.gov.sk/index.php?ID=3681014
ZMLUVA O POSKYTOVANÍ SLUŽBY ŠTANDARDNEJ PODPORY A ÚDRŽBY PROSTREDIA IKT INFRAŠTRUKTÚRY PRE IAAS, ČASŤ 1 ;Ministerstvo vnútra SR (Sekcia informatiky, telekomunikácií a bezpečnosti);Atos IT Solutions and Services s.r.o.;Ministerstvo vnútra SR;2018-10-02;NA;24366232.8;http://www.crz.gov.sk/index.php?ID=3664669
ZMLUVA O POSKYTOVANÍ SLUŽBY ŠTANDARDNEJ PODPORY A ÚDRŽBY PROSTREDIA IKT INFRAŠTRUKTÚRY PRE IAAS, ČASŤ 2;Ministerstvo vnútra SR (Sekcia informatiky, telekomunikácií a bezpečnosti);Soitron,s.r.o;Ministerstvo vnútra SR;2018-10-03;NA;23782897.24;http://www.crz.gov.sk/index.php?ID=3666042
ZMLUVA O POSKYTNUTÍ NENÁVRATNÉHO FINANČNÉHO PRÍSPEVKU Č. Z311071Q565 ;Úrad podpredsedu vlády SR pre investície a informatizáciu;Ministerstvo dopravy a výstavby Slovenskej republiky;Úrad podpredsedu vlády SR pre investície a informatizáciu;2018-10-13;NA;15578250.72;http://www.crz.gov.sk/index.php?ID=3688456
Zmluva o poskytnutí nenávratného finančného príspevku;Ministerstvo životného prostredia Slovenskej republiky;BUKÓZA INVEST spol. s.r.o.;Ministerstvo životného prostredia SR;2018-10-19;2028-12-31;12442815;http://www.crz.gov.sk/index.php?ID=3696072
Zmluva o dielo;Slovenská elektrizačná prenosová sústava, a.s.;SPIE Elektrovod, a.s.; Alter Energo, a.s.; ELCON BRATISLAVA a.s. ;Slovenská elektrizačná prenosová sústava, a.s. ;2018-10-03;NA;8629048.8;http://www.crz.gov.sk/index.php?ID=3669881
