"year";"NazovRezortu";"suma_spolu";"pocet";"avg";"typ";"kraj";"strana";"okres";"mesto";"zs"
2016;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";7623054247.0015;27292;279314.606734629;"Rezorty";NA;NA;NA;NA;NA
2013;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";6842875473.6771;35367;193481.931565502;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";6360101179.0882;35283;180259.648530119;"Rezorty";NA;NA;NA;NA;NA
2014;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";6213565839.7378;27020;229961.72611909;"Rezorty";NA;NA;NA;NA;NA
2012;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";5321124846.6236;26762;198831.35963768;"Rezorty";NA;NA;NA;NA;NA
2017;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";5013738163.86872;27467;182536.79556809;"Rezorty";NA;NA;NA;NA;NA
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";4915761822.0068;18273;269017.776063416;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo financií SR";4133387991.858;1767;2339212.21950085;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo školstva, vedy, výskumu a športu SR";3809488772.46047;19961;190846.589472495;"Rezorty";NA;NA;NA;NA;NA
2014;"Ministerstvo financií SR";2961567306.0364;1511;1960004.83523256;"Rezorty";NA;NA;NA;NA;NA
2011;"Ministerstvo financií SR";2912300972.92;289;10077165.996263;"Rezorty";NA;NA;NA;NA;NA
2014;"Ministerstvo školstva, vedy, výskumu a športu SR";2837193453.1635;27770;102167.571233831;"Rezorty";NA;NA;NA;NA;NA
2013;"Ministerstvo školstva, vedy, výskumu a športu SR";2727419151.0618;16370;166610.821689786;"Rezorty";NA;NA;NA;NA;NA
2011;"Ministerstvo školstva, vedy, výskumu a športu SR";2704549586.8505;4418;612166.045009167;"Rezorty";NA;NA;NA;NA;NA
2011;"Ministerstvo zdravotníctva SR";2146188656.0634;6124;350455.365131189;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo životného prostredia SR";1913543239.4458;5029;380501.737809863;"Rezorty";NA;NA;NA;NA;NA
2013;"Ministerstvo financií SR";1821726320.714;1309;1391693.14034683;"Rezorty";NA;NA;NA;NA;NA
2017;"Trenčianska univerzita Alexandra Dubčeka v Trenčíne";1515501914.06;147;10309536.8303401;"Rezorty";NA;NA;NA;NA;NA
2012;"Ministerstvo financií SR";1488358321.5712;1125;1322985.17472996;"Rezorty";NA;NA;NA;NA;NA
2017;"Ministerstvo školstva, vedy, výskumu a športu SR";1480645986.769;9219;160608.090548758;"Rezorty";NA;NA;NA;NA;NA
2011;"Ministerstvo pôdohospodárstva a rozvoja vidieka SR";1431120096.7491;14986;95497.1371112438;"Rezorty";NA;NA;NA;NA;NA
2013;"Ministerstvo životného prostredia SR";1336366390.367;4763;280572.410322696;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo pôdohospodárstva a rozvoja vidieka SR";1225373717.3787;16656;73569.5075275396;"Rezorty";NA;NA;NA;NA;NA
2012;"Ministerstvo pôdohospodárstva a rozvoja vidieka SR";1069092963.132;18031;59291.939611336;"Rezorty";NA;NA;NA;NA;NA
2015;"Univerzita Komenského v Bratislave";1042698684.7537;2369;440142.965282271;"Rezorty";NA;NA;NA;NA;NA
2017;"Ministerstvo hospodárstva SR ";1024858490.5951;9951;102990.502521867;"Rezorty";NA;NA;NA;NA;NA
2015;"Ministerstvo práce, sociálnych vecí a rodiny SR";997032882.524;32965;30245.1958903079;"Rezorty";NA;NA;NA;NA;NA
2012;"Ministerstvo práce, sociálnych vecí a rodiny SR";973247315.1692;30625;31779.5041687902;"Rezorty";NA;NA;NA;NA;NA
2016;"Ministerstvo životného prostredia SR";935000035.26;3815;245085.199281782;"Rezorty";NA;NA;NA;NA;NA
2016;"Ministerstvo školstva, vedy, výskumu a športu SR";926916085.828;9152;101280.166720717;"Rezorty";NA;NA;NA;NA;NA
