"year";"NazovRezortu";"typ_zmluvy";"suma_spolu";"pocet";"avg"
2011;"Agrokomplex – Výstavníctvo Nitra, š.p.";"iný";142925.67;72;1985.07875
2011;"Agrokomplex – Výstavníctvo Nitra, š.p.";"kúpna zmluva";141083.12;3;47027.7066666667
2011;"Agrokomplex – Výstavníctvo Nitra, š.p.";"nájomná zmluva";243089.41;120;2025.74508333333
2011;"Agrokomplex – Výstavníctvo Nitra, š.p.";"zmluva o dielo";86645.12;4;21661.28
2011;"Agrokomplex – Výstavníctvo Nitra, š.p.";"zmluva o spolupráci";70935.88;49;1447.67102040816
2011;"Akadémia umení v Banskej Bystrici";"iný";13542175.57;64;211596.49328125
2011;"Akadémia umení v Banskej Bystrici";"nájomná zmluva";7805.14;2;3902.57
2011;"Akadémia umení v Banskej Bystrici";"zmluva o dielo";51870.344;16;3241.8965
2011;"Audiovizuálny fond";"iný";0;277;0
2011;"Ekonomická univerzita v Bratislave";"iný";5026201.72;92;54632.6273913043
2011;"Ekonomická univerzita v Bratislave";"nájomná zmluva";12400;30;413.333333333333
2011;"Ekonomická univerzita v Bratislave";"zmluva o dielo";184015.2;6;30669.2
2011;"Hudobný fond";"darovacia zmluva";0;1;0
2011;"Hudobný fond";"iný";104113.55;97;1073.33556701031
2011;"Hudobný fond";"zmluva o dielo";22114;31;713.354838709677
2011;"Kancelária Národnej rady Slovenskej republiky";"darovacia zmluva";0;1;0
2011;"Katolícka univerzita v Ružomberku";"darovacia zmluva";5000;1;5000
2011;"Katolícka univerzita v Ružomberku";"iný";688563.28;209;3294.56114832536
2011;"Katolícka univerzita v Ružomberku";"kúpna zmluva";3392062.88;11;308369.352727273
2011;"Katolícka univerzita v Ružomberku";"nájomná zmluva";33676.5;12;2806.375
2011;"Katolícka univerzita v Ružomberku";"zmluva o dielo";9114831.81;24;379784.65875
2011;"Katolícka univerzita v Ružomberku";"zmluva o poskytnutí dotácie";3400;1;3400
2011;"Katolícka univerzita v Ružomberku";"zmluva o poskytovaní služieb";7224.42;3;2408.14
2011;"Katolícka univerzita v Ružomberku";"zmluva o spolupráci";0;2;0
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"darovacia zmluva";0;1;0
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"dohoda o splátkach";7224.2;8;903.025
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"iný";4544731929.3418;5321;854112.371610938
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"kúpna zmluva";37978925.49;7216;5263.15486280488
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"nájomná zmluva";3228511.717;4920;656.201568495935
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"zmluva o dielo";329138430.488;373;882408.660825737
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"zmluva o poskytovaní služieb";170638.4;10;17063.84
2011;"Ministerstvo dopravy, výstavby a regionálneho rozvoja SR";"zmluva o spolupráci";75330;23;3275.21739130435
